Data_Venda,Produto,Quantidade,Preco_Unitario,Categoria,Valor_Total
2020-01-01,Escova de Pelos,1,211.51,Cuidados,211.51
2020-01-01,Coleira Ajustável,5,33.44,Acessórios,167.2
2020-01-01,Brinquedo de Borracha,3,200.97,Brinquedos,602.91
2020-01-01,Escova de Pelos,6,50.91,Cuidados,305.46
2020-01-01,Brinquedo de Borracha,4,108.48,Brinquedos,433.92
2020-01-02,Comedouro Duplo,3,174.8,Acessórios,524.4
2020-01-02,Escova de Pelos,5,51.61,Cuidados,258.05
2020-01-02,Shampoo Antipulgas,7,196.66,Higiene,1376.62
2020-01-03,Petisco Natural,6,58.82,Alimentação,352.92
2020-01-03,Caminha Luxo,3,140.13,Conforto,420.39
2020-01-03,Suplemento Vitamínico,1,221.28,Saúde,221.28
2020-01-03,Ração Premium,9,206.03,Alimentação,1854.27
2020-01-03,Shampoo Antipulgas,6,189.84,Higiene,1139.04
2020-01-04,Brinquedo de Borracha,6,148.43,Brinquedos,890.58
2020-01-04,Escova de Pelos,6,86.01,Cuidados,516.06
2020-01-04,Areia Higiênica,8,39.88,Higiene,319.04
2020-01-05,Petisco Natural,4,165.05,Alimentação,660.2
2020-01-05,Brinquedo de Borracha,4,66.06,Brinquedos,264.24
2020-01-05,Caminha Luxo,6,104.44,Conforto,626.64
2020-01-05,Petisco Natural,2,182.24,Alimentação,364.48
2020-01-05,Brinquedo de Borracha,8,212.82,Brinquedos,1702.56
2020-01-05,Escova de Pelos,2,147.09,Cuidados,294.18
2020-01-05,Shampoo Antipulgas,6,88.93,Higiene,533.58
2020-01-05,Shampoo Antipulgas,2,70.04,Higiene,140.08
2020-01-06,Caminha Luxo,1,207.89,Conforto,207.89
2020-01-07,Coleira Ajustável,1,111.24,Acessórios,111.24
2020-01-07,Comedouro Duplo,5,99.76,Acessórios,498.8
2020-01-07,Ração Premium,1,241.73,Alimentação,241.73
2020-01-07,Comedouro Duplo,6,30.44,Acessórios,182.64
2020-01-07,Coleira Ajustável,6,18.15,Acessórios,108.9
2020-01-07,Areia Higiênica,4,129.78,Higiene,519.12
2020-01-07,Brinquedo de Borracha,1,113.38,Brinquedos,113.38
2020-01-07,Coleira Ajustável,4,162.03,Acessórios,648.12
2020-01-07,Brinquedo de Borracha,3,30.43,Brinquedos,91.29
2020-01-08,Coleira Ajustável,5,81.81,Acessórios,409.05
2020-01-09,Ração Premium,5,126.93,Alimentação,634.65
2020-01-09,Comedouro Duplo,9,163.02,Acessórios,1467.18
2020-01-10,Suplemento Vitamínico,6,249.01,Saúde,1494.06
2020-01-10,Escova de Pelos,3,54.82,Cuidados,164.46
2020-01-10,Coleira Ajustável,3,43.56,Acessórios,130.68
2020-01-11,Brinquedo de Borracha,1,17.34,Brinquedos,17.34
2020-01-11,Escova de Pelos,2,113.37,Cuidados,226.74
2020-01-11,Escova de Pelos,7,137.49,Cuidados,962.43
2020-01-11,Escova de Pelos,2,55.55,Cuidados,111.1
2020-01-11,Comedouro Duplo,6,157.57,Acessórios,945.42
2020-01-11,Petisco Natural,4,12.63,Alimentação,50.52
2020-01-12,Suplemento Vitamínico,4,86.66,Saúde,346.64
2020-01-12,Ração Premium,8,249.99,Alimentação,1999.92
2020-01-12,Brinquedo de Borracha,2,238.06,Brinquedos,476.12
2020-01-12,Ração Premium,1,207.61,Alimentação,207.61
2020-01-13,Coleira Ajustável,9,159.5,Acessórios,1435.5
2020-01-13,Escova de Pelos,8,169.82,Cuidados,1358.56
2020-01-14,Petisco Natural,7,244.42,Alimentação,1710.94
2020-01-14,Shampoo Antipulgas,3,58.54,Higiene,175.62
2020-01-14,Comedouro Duplo,3,167.38,Acessórios,502.14
2020-01-15,Areia Higiênica,4,120.37,Higiene,481.48
2020-01-15,Caminha Luxo,9,95.19,Conforto,856.71
2020-01-15,Petisco Natural,9,157.69,Alimentação,1419.21
2020-01-15,Shampoo Antipulgas,4,189.56,Higiene,758.24
2020-01-15,Brinquedo de Borracha,6,103.38,Brinquedos,620.28
2020-01-15,Brinquedo de Borracha,5,160.29,Brinquedos,801.45
